"","date","hits","keyword","geo","gprop","category","hits_backup","datetime"
"1",2016-01-01 00:30:00,65,"BTC","world","web",0,65,2015-12-31
"2",2016-01-02 00:30:00,76,"BTC","world","web",0,76,2016-01-01
"3",2016-01-03 00:30:00,65,"BTC","world","web",0,65,2016-01-02
"4",2016-01-04 00:30:00,75,"BTC","world","web",0,75,2016-01-03
"5",2016-01-05 00:30:00,87,"BTC","world","web",0,87,2016-01-04
"6",2016-01-06 00:30:00,88,"BTC","world","web",0,88,2016-01-05
"7",2016-01-07 00:30:00,91,"BTC","world","web",0,91,2016-01-06
"8",2016-01-08 00:30:00,95,"BTC","world","web",0,95,2016-01-07
"9",2016-01-09 00:30:00,74,"BTC","world","web",0,74,2016-01-08
"10",2016-01-10 00:30:00,67,"BTC","world","web",0,67,2016-01-09
"11",2016-01-11 00:30:00,78,"BTC","world","web",0,78,2016-01-10
"12",2016-01-12 00:30:00,87,"BTC","world","web",0,87,2016-01-11
"13",2016-01-13 00:30:00,79,"BTC","world","web",0,79,2016-01-12
"14",2016-01-14 00:30:00,76,"BTC","world","web",0,76,2016-01-13
"15",2016-01-15 00:30:00,88,"BTC","world","web",0,88,2016-01-14
"16",2016-01-16 00:30:00,96,"BTC","world","web",0,96,2016-01-15
"17",2016-01-17 00:30:00,76,"BTC","world","web",0,76,2016-01-16
"18",2016-01-18 00:30:00,100,"BTC","world","web",0,100,2016-01-17
"19",2016-01-19 00:30:00,80,"BTC","world","web",0,80,2016-01-18
"20",2016-01-20 00:30:00,89,"BTC","world","web",0,89,2016-01-19
"21",2016-01-21 00:30:00,76,"BTC","world","web",0,76,2016-01-20
"22",2016-01-22 00:30:00,82,"BTC","world","web",0,82,2016-01-21
"23",2016-01-23 00:30:00,74,"BTC","world","web",0,74,2016-01-22
"24",2016-01-24 00:30:00,70,"BTC","world","web",0,70,2016-01-23
"25",2016-01-25 00:30:00,78,"BTC","world","web",0,78,2016-01-24
"26",2016-01-26 00:30:00,75,"BTC","world","web",0,75,2016-01-25
"27",2016-01-27 00:30:00,77,"BTC","world","web",0,77,2016-01-26
"28",2016-01-28 00:30:00,67,"BTC","world","web",0,67,2016-01-27
"29",2016-01-29 00:30:00,89,"BTC","world","web",0,89,2016-01-28
"30",2016-01-30 00:30:00,66,"BTC","world","web",0,66,2016-01-29
"31",2016-01-31 00:30:00,64,"BTC","world","web",0,64,2016-01-30
"32",2016-02-01 00:30:00,70,"BTC","world","web",0,70,2016-01-31
"33",2016-02-02 00:30:00,72,"BTC","world","web",0,72,2016-02-01
"34",2016-02-03 00:30:00,63,"BTC","world","web",0,63,2016-02-02
"35",2016-02-04 00:30:00,79,"BTC","world","web",0,79,2016-02-03
"36",2016-02-05 00:30:00,72,"BTC","world","web",0,72,2016-02-04
"37",2016-02-06 00:30:00,66,"BTC","world","web",0,66,2016-02-05
"38",2016-02-07 00:30:00,59,"BTC","world","web",0,59,2016-02-06
"39",2016-02-08 00:30:00,69,"BTC","world","web",0,69,2016-02-07
"40",2016-02-09 00:30:00,79,"BTC","world","web",0,79,2016-02-08
"41",2016-02-10 00:30:00,69,"BTC","world","web",0,69,2016-02-09
"42",2016-02-11 00:30:00,86,"BTC","world","web",0,86,2016-02-10
"43",2016-02-12 00:30:00,69,"BTC","world","web",0,69,2016-02-11
"44",2016-02-13 00:30:00,64,"BTC","world","web",0,64,2016-02-12
"45",2016-02-14 00:30:00,64,"BTC","world","web",0,64,2016-02-13
"46",2016-02-15 00:30:00,80,"BTC","world","web",0,80,2016-02-14
"47",2016-02-16 00:30:00,71,"BTC","world","web",0,71,2016-02-15
"48",2016-02-17 00:30:00,79,"BTC","world","web",0,79,2016-02-16
"49",2016-02-18 00:30:00,82,"BTC","world","web",0,82,2016-02-17
"50",2016-02-19 00:30:00,68,"BTC","world","web",0,68,2016-02-18
